Filter,,
,,
Sum - total_time,activity,
date,Walking,Total Result
2014-11-01,984.714,984.714
2014-11-02,1830.364,1830.364
2014-11-03,921.006,921.006
2014-11-04,1075.505,1075.505
2014-11-07,1123.292,1123.292
2014-11-10,542.936,542.936
2014-11-11,1030.649,1030.649
2014-11-12,3832.16,3832.16
2014-11-14,3359.385,3359.385
2015-03-21,876.52,876.52
2015-03-24,1310.541,1310.541
2015-03-27,937.824,937.824
2015-04-01,1420.74,1420.74
2015-04-04,4464.494,4464.494
2015-04-05,1693.467,1693.467
2015-04-08,1055.534,1055.534
2015-04-09,1400.186,1400.186
2015-04-11,2056.234,2056.234
2015-04-13,1055.87,1055.87
2015-04-18,812.204,812.204
2015-04-21,720.483,720.483
2015-04-24,3300.991,3300.991
2015-04-25,53085.187,53085.187
2015-04-26,1122.669,1122.669
2015-04-27,1455.043,1455.043
2015-05-02,923.763,923.763
2015-05-03,3208.402,3208.402
2015-05-05,1778.849,1778.849
2015-05-06,1148.435,1148.435
2015-05-09,3979.537,3979.537
2015-05-14,3121.856,3121.856
2015-05-16,2506.965,2506.965
2015-05-17,1890.308,1890.308
2015-05-19,1105.936,1105.936
2015-05-22,3606.955,3606.955
2015-05-23,2628.41,2628.41
2015-05-24,770.447,770.447
2015-05-26,1518.788,1518.788
2015-05-27,1100.461,1100.461
2015-05-29,938.39,938.39
2015-05-30,2190.304,2190.304
2015-05-31,1159.171,1159.171
2015-06-03,1270.911,1270.911
2015-06-06,1539.507,1539.507
2015-06-07,9628.184,9628.184
2015-06-10,3157.312,3157.312
2015-06-11,1971.159,1971.159
2015-06-13,6964.666,6964.666
2015-06-14,986.441,986.441
2015-06-16,1454.573,1454.573
2015-06-17,2418.248,2418.248
2015-06-19,1427.805,1427.805
2015-06-20,1225.725,1225.725
2015-06-25,980.04,980.04
2015-06-27,2844.447,2844.447
2015-07-01,1504.489,1504.489
2015-07-04,2855.252,2855.252
2015-07-05,2057.056,2057.056
2015-07-06,1067.278,1067.278
2015-07-10,1010.814,1010.814
2015-07-11,5311.464,5311.464
2015-07-12,830.496,830.496
2015-07-15,865.577,865.577
2015-07-17,1625.359,1625.359
2015-07-19,3139.114,3139.114
2015-07-20,1753.658,1753.658
2015-07-22,738.59,738.59
2015-07-23,1329.137,1329.137
2015-07-25,1466.327,1466.327
2015-07-27,1717.639,1717.639
2015-07-30,807.831,807.831
2015-08-02,928.684,928.684
2015-08-03,2379.899,2379.899
2015-08-07,3274.852,3274.852
2015-08-08,3342.423,3342.423
2015-08-10,703.645,703.645
2015-08-14,1881.847,1881.847
2015-08-15,1204.895,1204.895
2015-08-17,1840.372,1840.372
2015-08-28,1672.036,1672.036
2015-08-29,4235.741,4235.741
2015-09-02,1587.65,1587.65
2015-09-03,5283.463,5283.463
2015-09-05,1553.765,1553.765
2015-09-08,577.966,577.966
2015-09-14,2221.75,2221.75
2015-09-15,1031.047,1031.047
2015-09-16,1055.401,1055.401
2015-09-18,960.206,960.206
2015-09-20,1183.967,1183.967
2015-09-21,2172.584,2172.584
2015-09-23,960.588,960.588
2015-09-29,2119.925,2119.925
2015-10-06,545.339,545.339
2015-10-09,2008.762,2008.762
2015-10-10,1724.997,1724.997
2015-10-12,1011.754,1011.754
2015-10-16,1927.427,1927.427
2015-10-18,3793.977,3793.977
2015-10-21,1026.864,1026.864
2015-10-22,2025.875,2025.875
2015-10-23,307.716,307.716
2015-10-24,2121.145,2121.145
2015-10-25,2021.736,2021.736
2015-10-26,1122.967,1122.967
2015-10-27,1307.805,1307.805
2016-01-10,2722.029559832,2722.029559832
2016-01-11,781.842887,781.842887
2016-01-13,782.274225,782.274225
2016-01-17,5025.990926,5025.990926
2016-01-23,3555.505269,3555.505269
2016-01-28,1287.405492,1287.405492
2016-01-30,1874.634586,1874.634586
2016-02-09,797.235,797.235
2016-02-19,1483.704157,1483.704157
2016-02-20,4549.239443,4549.239443
2016-02-21,2343.720513,2343.720513
2016-02-23,1035.894,1035.894
2016-02-26,4008.693,4008.693
2016-02-27,2558.284886,2558.284886
2016-02-28,822.963,822.963
2016-03-01,1073.49,1073.49
2016-03-03,555.330802,555.330802
2016-03-04,963.051,963.051
2016-03-05,1097.015,1097.015
2016-03-08,883.650752,883.650752
2016-03-10,637.402,637.402
2016-03-12,1137.942687,1137.942687
2016-03-13,881.884643,881.884643
2016-03-16,987.102,987.102
2016-03-17,1772.815128,1772.815128
2016-06-12,11102.676233,11102.676233
2016-06-13,4910.294244,4910.294244
2016-06-16,1644.484,1644.484
2016-06-17,2155.986,2155.986
2016-06-18,4072.537,4072.537
2016-06-20,3630.038,3630.038
2016-06-22,1017.493,1017.493
2016-06-24,1724.42,1724.42
2016-06-26,5879.49,5879.49
2016-07-05,1524.609,1524.609
2016-07-06,2836.385,2836.385
2016-07-08,1016.883,1016.883
2016-07-10,4518.897,4518.897
2017-08-28,2169.868345666,2169.868345666
2017-09-02,1791.941,1791.941
2017-09-03,24900.824,24900.824
2017-09-09,1016.184,1016.184
2017-09-12,1717.717,1717.717
2017-09-13,9313.929901444,9313.929901444
2017-09-14,5737.834391774,5737.834391774
2017-09-15,10082.833,10082.833
2017-09-16,4589.629747942,4589.629747942
2017-09-17,4209.617142842,4209.617142842
2017-09-18,951.082,951.082
2017-09-23,3168.795,3168.795
2017-09-24,1.807150529,1.807150529
2017-10-01,1162.274,1162.274
2017-10-03,1147.318,1147.318
2017-10-08,4642.772865755,4642.772865755
2017-10-11,1272.638,1272.638
2017-10-13,2211.137,2211.137
2017-10-15,3097.265,3097.265
2017-10-20,2952.987352196,2952.987352196
2017-10-21,919.657,919.657
2017-10-22,4816.78,4816.78
2017-10-27,1720.259,1720.259
2017-10-28,1424.721,1424.721
2017-11-03,1014.195,1014.195
2017-11-05,3139.256,3139.256
2017-11-06,7165.307,7165.307
2017-11-07,1391.109,1391.109
2017-11-08,1021.926,1021.926
2017-11-10,1237.503,1237.503
2017-11-11,12267.823,12267.823
2017-11-12,3759.772,3759.772
2017-11-13,1088.774,1088.774
2017-11-14,2313.562,2313.562
2017-11-15,874.654,874.654
2017-11-16,1290.202,1290.202
2017-11-18,2096.809,2096.809
2017-11-19,3505.308,3505.308
2017-11-20,2473.871,2473.871
2017-11-21,959.079,959.079
2017-11-22,4876.472441012,4876.472441012
2017-11-29,10260,10260
2017-11-30,5220,5220
2017-12-01,600,600
2017-12-02,10719.649,10719.649
2017-12-03,12649.124,12649.124
2017-12-04,2100,2100
2017-12-05,3993.729,3993.729
2017-12-06,6060,6060
2017-12-07,1380,1380
2017-12-08,6488.636,6488.636
2017-12-09,3375.921,3375.921
2017-12-10,10827.746,10827.746
2017-12-11,6300,6300
2017-12-13,10488.612,10488.612
2017-12-14,3180,3180
2017-12-15,10440,10440
2017-12-16,9300,9300
2017-12-17,10758.624,10758.624
2017-12-18,3450.564,3450.564
2017-12-19,1904.688,1904.688
2017-12-20,1092.047,1092.047
2017-12-21,4010.116,4010.116
2017-12-22,6637.182,6637.182
2017-12-23,12810.008,12810.008
2017-12-24,720,720
2017-12-25,420,420
2017-12-26,2160,2160
2017-12-27,540,540
2017-12-28,66319.352,66319.352
2017-12-29,8009.286,8009.286
2017-12-30,4391.729305895,4391.729305895
2017-12-31,4744.087,4744.087
2018-01-01,540,540
2018-01-02,18700.788,18700.788
2018-01-03,4080,4080
2018-01-04,1620,1620
2018-01-05,5775.013,5775.013
2018-01-06,4954.531,4954.531
2018-01-08,2100,2100
2018-01-09,3900,3900
2018-01-10,2271.45,2271.45
2018-01-11,7538.351,7538.351
2018-01-12,1741.124,1741.124
2018-01-13,12135.206,12135.206
2018-01-14,2940,2940
2018-01-15,1827.173,1827.173
2018-01-16,2341.884,2341.884
2018-01-18,2520,2520
2018-01-19,3060,3060
2018-01-20,4062.958,4062.958
2018-01-21,7979.965,7979.965
2018-01-23,954.248,954.248
2018-01-24,2414.248,2414.248
2018-01-25,2916.22523162,2916.22523162
2018-01-26,7020,7020
2018-01-27,1740,1740
2018-01-28,1380,1380
2018-01-29,3349.813,3349.813
2018-01-30,2329.841,2329.841
2018-01-31,18604.804,18604.804
2018-02-01,2100,2100
2018-02-02,6541.32,6541.32
2018-02-04,7546.925,7546.925
2018-02-05,10680,10680
2018-02-06,4338.354,4338.354
2018-02-07,2460,2460
2018-02-08,4584.541,4584.541
2018-02-10,6798.099,6798.099
2018-02-12,5280,5280
2018-02-14,11380.73,11380.73
2018-02-15,2219.375,2219.375
2018-02-16,6060,6060
2018-02-17,960,960
2018-02-18,40620,40620
2018-02-19,4080,4080
2018-02-21,1295.653,1295.653
2018-02-22,15146.922,15146.922
2018-02-23,3120,3120
2018-02-24,4716.612,4716.612
2018-02-25,1187.955,1187.955
